Equipos,Integrantes
DarkEngels,'Ulises, Zepo, Tote, Darkmoon y Sikario'
Los Palmeras,'Hao, Crack, Excelion, Febe y Joseliyo'
Milicias de Sko,'KKDBB, Flow, Miliciano, Kakashi, Ulises6 y Aulo'
Sikarios Imperiales,'Suly, Elas, Mito, Aiora y Gladiador'
Team Ez,'Asuma, HozHorus, Maximo y Funzo'
KRWJE X,'Winard, Kage, Rayo y Jarkhan'
Legend ,'Dave, Sunset, Eclipse, Kanutin y Lazaro'
Los Pixa ,'Altair, Gollum, ElMasike y Roberto'
New Age,'Arkantos, Adin, Ramp, Juky y Decimus'
Engels of Nova,'Marce, juncales, Balito, Rusito y Nova'
Siim Latam ,'Kinto, Killua, Ruben Leopard y Halcon'
Skorpion ,'Terminator888, West, Guillebaides, JulioCesarXII y Spartaco'
Titanes y sus Porongas ,'Atlas, Poronguita, Ampu, Silex y Alberto'
